order_id,customer_id,product_id,quantity,price,order_date,timestamp,status
1,1,3,1,129.99,2026-01-01,2026-01-01T08:15:00Z,delivered
2,5,11,2,79.98,2026-01-01,2026-01-01T09:30:00Z,delivered
3,2,7,1,49.99,2026-01-02,2026-01-02T10:00:00Z,shipped
4,8,1,3,59.97,2026-01-02,2026-01-02T14:20:00Z,pending
5,3,15,1,199.99,2026-01-03,2026-01-03T11:45:00Z,cancelled
6,1,9,2,39.98,2026-01-03,2026-01-03T16:00:00Z,delivered
7,6,4,1,89.99,2026-01-04,2026-01-04T08:30:00Z,shipped
8,4,12,1,149.99,2026-01-04,2026-01-04T12:10:00Z,delivered
9,7,2,4,119.96,2026-01-05,2026-01-05T09:00:00Z,pending
10,9,8,1,29.99,2026-01-05,2026-01-05T15:30:00Z,delivered
11,2,5,2,69.98,2026-01-06,2026-01-06T10:15:00Z,shipped
12,10,14,1,249.99,2026-01-06,2026-01-06T13:45:00Z,delivered
13,,6,1,59.99,2026-01-07,2026-01-07T08:00:00Z,delivered
14,5,10,2,99.98,2026-01-07,2026-01-07T11:30:00Z,
15,3,13,1,179.99,2026-01-08,2026-01-08T09:20:00Z,DELIVERED
16,8,1,0,0.00,2026-01-08,2026-01-08T14:00:00Z,pending
17,1,7,,44.99,2026-01-09,2026-01-09T10:00:00Z,shipped
18,6,3,2,259.98,2026-01-09,2026-01-09T16:30:00Z,delivered
19,4,11,1,79.99,2026-01-10,2026-01-10T08:45:00Z,returned
20,2,9,3,59.97,2026-01-10,2026-01-10T12:00:00Z,  Shipped
